Timestamp,Source IP,Destination IP,Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,SYN Flag Count,FIN Flag Count,RST Flag Count,ACK Flag Count,PSH Flag Count,Flow Bytes/s,Flow Packets/s
10/09/2026 22:27:30,192.168.1.18,192.168.1.24,49648,80,6,2124522,5,12,7450,729384,0,0,0,1,0,346823.43,8.0
10/09/2026 22:27:30,192.168.1.19,1.1.1.1,8033,443,6,3179070,19,4,22287,221516,0,0,0,1,0,76690.04,7.23
10/09/2026 22:27:30,192.168.1.23,192.168.1.14,13362,443,6,3356180,7,13,8442,606385,1,0,0,1,0,183192.5,5.96
10/09/2026 22:27:30,192.168.1.29,198.41.0.4,17336,53,6,4898149,12,1,684,372,0,0,0,1,0,215.59,2.65
10/09/2026 22:27:30,192.168.1.28,151.101.1.140,59449,53,6,3204117,8,11,344,3861,1,0,0,0,0,1312.37,5.93
10/09/2026 22:27:30,192.168.1.17,151.101.1.140,30370,22,6,2358416,5,9,4970,5265,1,0,0,0,0,4339.78,5.94
10/09/2026 22:27:30,192.168.1.8,192.168.1.4,36132,22,6,1559231,1,2,974,2626,1,0,0,1,0,2308.83,1.92
10/09/2026 22:27:30,192.168.1.23,192.168.1.18,51767,443,6,60379,18,15,23274,346440,0,0,0,1,0,6123221.65,546.55
10/09/2026 22:27:31,192.168.1.8,172.217.14.238,27838,143,6,1426352,19,14,18582,8666,0,0,0,1,1,19103.28,23.14
10/09/2026 22:27:31,192.168.1.9,192.168.1.26,41259,22,17,1294174,18,14,20772,8064,0,0,0,0,0,22281.39,24.73
10/09/2026 22:27:31,192.168.1.28,13.32.99.1,37640,80,17,1143542,6,4,5904,132972,0,0,0,0,0,121443.72,8.74
10/09/2026 22:27:31,192.168.1.23,192.168.1.13,34358,8443,6,931172,1,12,428,498936,0,0,0,1,1,536274.72,13.96
10/09/2026 22:27:31,151.101.1.140,192.168.1.13,15654,53,17,992624,19,1,570,52,0,0,0,0,0,626.62,20.15
10/09/2026 22:27:31,192.168.1.24,192.168.1.27,46771,22750,6,1146602,10,14,1070,15064,0,1,0,1,0,14071.14,20.93
10/09/2026 22:27:31,192.168.1.19,192.168.1.3,19744,21,6,3844789,15,10,22050,11750,0,0,0,1,0,8791.12,6.5
10/09/2026 22:27:31,151.101.1.140,192.168.1.4,29499,80,6,2433992,1,14,1281,174664,1,0,0,0,0,72286.6,6.16
10/09/2026 22:27:31,192.168.1.4,192.168.1.14,0,0,1,4130751,13,3,481,249,0,0,0,0,0,176.72,3.87
10/09/2026 22:27:31,192.168.1.11,192.168.1.1,0,0,1,3180881,17,13,918,676,0,0,0,0,0,501.12,9.43
10/09/2026 22:27:31,52.84.17.100,192.168.1.23,54024,80,17,1359221,3,7,2982,222103,0,0,0,0,0,165598.53,7.36
10/09/2026 22:27:31,8.8.8.8,192.168.1.5,11391,58106,6,4897316,12,12,11976,8244,0,0,0,1,0,4128.79,4.9
10/09/2026 22:27:31,192.168.1.3,192.168.1.6,52742,57423,6,4944634,5,14,2165,5880,0,0,0,1,1,1627.02,3.84
10/09/2026 22:27:31,192.168.1.23,192.168.1.2,11473,80,6,1256441,19,7,19722,267666,0,0,0,1,1,228731.79,20.69
10/09/2026 22:27:31,192.168.1.4,198.41.0.4,0,0,1,1382415,12,3,360,93,0,0,0,0,0,327.69,10.85
10/09/2026 22:27:31,192.168.1.13,52.84.17.100,49137,2864,6,4527995,16,7,9808,6916,0,0,0,1,0,3693.47,5.08
10/09/2026 22:27:31,192.168.1.14,192.168.1.26,50677,8443,6,1675089,19,6,16093,208620,0,0,0,1,1,134149.89,14.92
10/09/2026 22:27:31,192.168.1.24,192.168.1.7,0,0,1,2880398,13,5,871,370,0,0,0,0,0,430.84,6.25
10/09/2026 22:27:31,192.168.1.27,192.168.1.3,48287,53,6,2729084,11,12,396,5196,1,0,0,1,0,2049.04,8.43
10/09/2026 22:27:31,192.168.1.6,1.1.1.1,50049,54770,6,2115510,3,11,2136,12386,0,1,0,1,0,6864.54,6.62
10/09/2026 22:27:31,192.168.1.26,192.168.1.9,54468,80,17,227607,15,4,19380,116112,0,0,0,0,0,595289.25,83.48
10/09/2026 22:27:31,192.168.1.10,8.8.4.4,65056,53,17,4910375,3,12,150,3132,0,0,0,0,0,668.38,3.05
10/09/2026 22:27:31,192.168.1.21,192.168.1.16,2318,8443,17,1255829,3,7,753,185570,0,0,0,0,0,148366.54,7.96
10/09/2026 22:27:31,192.168.1.6,192.168.1.26,55054,53,17,3939879,18,5,846,1735,0,0,0,0,0,655.1,5.84
10/09/2026 22:27:31,192.168.1.3,192.168.1.10,36775,10538,6,1154682,1,1,728,67,0,0,0,1,0,688.5,1.73
10/09/2026 22:27:31,192.168.1.25,192.168.1.26,37967,443,6,1594356,2,0,966,0,1,0,0,0,0,605.89,1.25
10/09/2026 22:27:31,192.168.1.7,192.168.1.27,63159,443,6,4357920,4,2,2000,17970,0,0,1,0,0,4582.46,1.38
10/09/2026 22:27:31,172.217.14.238,1.1.1.1,35488,35856,17,836782,9,9,10629,675,0,0,0,0,0,13508.89,21.51
10/09/2026 22:27:31,192.168.1.6,192.168.1.4,48580,443,6,4268149,14,9,10780,503550,1,0,0,0,0,120504.23,5.39
10/09/2026 22:27:31,192.168.1.7,192.168.1.21,65251,8080,6,2382553,15,1,10290,37804,0,0,0,1,0,20185.91,6.72
10/09/2026 22:27:31,192.168.1.18,104.244.42.65,29542,33927,6,3326083,4,4,988,2508,0,0,0,1,1,1051.09,2.41
10/09/2026 22:27:31,192.168.1.4,8.8.8.8,20185,53,6,4673084,4,14,172,2940,0,0,0,1,0,665.94,3.85
10/09/2026 22:27:31,8.8.4.4,192.168.1.19,43102,8080,6,3752106,10,5,3910,230055,0,0,0,1,0,62355.65,4.0
10/09/2026 22:27:31,192.168.1.12,8.8.8.8,42776,80,6,3204233,12,14,17652,660338,1,0,0,0,0,211591.98,8.11
10/09/2026 22:27:31,192.168.1.11,192.168.1.14,20070,80,6,680489,11,15,16159,161040,1,0,0,0,0,260399.51,38.21
10/09/2026 22:27:31,192.168.1.29,192.168.1.7,54785,8443,17,828529,10,14,12350,283262,0,0,0,0,0,356791.37,28.97
10/09/2026 22:27:31,192.168.1.23,192.168.1.29,54004,25,6,1498293,2,10,2052,12440,1,0,0,0,0,9672.34,8.01
10/09/2026 22:27:31,198.41.0.4,104.244.42.65,42959,53,6,396019,15,0,450,0,0,0,0,1,1,1136.31,37.88
10/09/2026 22:27:31,151.101.1.140,192.168.1.27,44270,53,6,3122303,4,0,120,0,1,0,0,0,0,38.43,1.28
10/09/2026 22:27:31,8.8.4.4,13.32.99.1,36048,8443,6,2345234,19,9,22610,142992,0,1,0,1,0,70612.14,11.94
10/09/2026 22:27:31,104.244.42.65,192.168.1.16,65407,8443,6,4083167,15,14,3210,763518,0,0,1,0,0,187777.77,7.1
10/09/2026 22:27:31,192.168.1.20,13.32.99.1,0,0,1,2220813,1,9,32,729,0,0,0,0,0,342.67,4.5
10/09/2026 22:27:31,192.168.1.2,192.168.1.27,11691,443,6,905244,8,2,10592,119382,0,1,0,1,0,143578.97,11.05
10/09/2026 22:27:31,192.168.1.22,192.168.1.1,54533,8443,6,4753300,9,7,10035,93051,0,1,0,1,0,21687.25,3.37
10/09/2026 22:27:31,8.8.4.4,192.168.1.22,61688,21,17,1549523,8,5,6360,5825,0,0,0,0,0,7863.71,8.39
10/09/2026 22:27:31,192.168.1.8,192.168.1.20,64351,22,6,3791915,20,6,27280,7968,1,0,0,1,0,9295.57,6.86
10/09/2026 22:27:31,151.101.1.140,192.168.1.6,31136,21,6,343943,14,6,15414,4890,1,0,0,0,0,59033.04,58.15
10/09/2026 22:27:31,192.168.1.7,192.168.1.13,56572,4235,6,316056,16,11,1984,12199,1,0,0,0,0,44874.96,85.43
10/09/2026 22:27:31,192.168.1.5,192.168.1.2,37959,56715,6,691200,20,4,5900,4460,0,0,0,1,0,14988.43,34.72
10/09/2026 22:27:31,192.168.1.4,192.168.1.21,3301,443,17,2080626,6,3,6636,81585,0,0,0,0,0,42401.18,4.33
10/09/2026 22:27:31,192.168.1.21,13.32.99.1,7407,993,6,1192095,4,15,4612,21825,0,0,0,1,1,22176.92,15.94
10/09/2026 22:27:31,192.168.1.20,192.168.1.13,58804,62131,6,3484723,8,8,5528,7128,1,0,0,0,0,3631.85,4.59
10/09/2026 22:27:31,192.168.1.20,192.168.1.4,7520,80,6,214428,10,13,2310,290264,0,0,0,1,1,1364439.35,107.26
10/09/2026 22:27:31,52.84.17.100,192.168.1.22,46366,8080,6,904910,12,3,11508,103449,0,0,0,1,1,127036.94,16.58
10/09/2026 22:27:31,192.168.1.20,192.168.1.4,31201,443,6,3036797,20,7,17800,237566,1,0,0,0,0,84090.57,8.89
10/09/2026 22:27:31,192.168.1.24,192.168.1.12,24116,8080,17,912877,8,3,9880,146940,0,0,0,0,0,171786.56,12.05
10/09/2026 22:27:31,104.244.42.65,192.168.1.17,22364,53,17,1579735,4,9,136,2754,0,0,0,0,0,1829.42,8.23
10/09/2026 22:27:31,192.168.1.14,1.1.1.1,55157,80,6,844478,16,1,23744,39219,0,1,0,1,0,74558.48,20.13
10/09/2026 22:27:31,192.168.1.2,52.84.17.100,35595,53,6,2144192,15,6,960,1890,0,0,0,1,0,1329.17,9.79
10/09/2026 22:27:31,192.168.1.26,192.168.1.1,3769,25,17,846071,18,0,14400,0,0,0,0,0,0,17019.85,21.27
10/09/2026 22:27:31,172.217.14.238,192.168.1.16,41382,443,17,2347162,14,11,8680,117337,0,0,0,0,0,53689.09,10.65
10/09/2026 22:27:31,192.168.1.10,192.168.1.4,8365,55924,17,3789553,3,5,2445,3500,0,0,0,0,0,1568.79,2.11
10/09/2026 22:27:31,192.168.1.4,172.217.14.238,56980,443,6,3914707,5,13,5165,368940,0,1,0,1,0,95563.98,4.6
10/09/2026 22:27:31,192.168.1.19,192.168.1.21,13346,443,6,3097522,5,1,6165,21712,0,0,0,1,1,8999.77,1.94
10/09/2026 22:27:31,192.168.1.7,172.217.14.238,50949,8080,6,1415870,13,7,9074,51821,0,0,0,1,0,43008.89,14.13
10/09/2026 22:27:31,192.168.1.3,8.8.4.4,15387,8080,6,4788024,20,4,6540,144808,1,0,0,0,0,31609.7,5.01
10/09/2026 22:27:31,192.168.1.28,8.8.8.8,15558,53,6,3324249,10,9,650,1386,0,0,0,1,0,612.47,5.72
10/09/2026 22:27:31,192.168.1.12,192.168.1.17,8944,443,6,180967,16,11,10912,357654,0,0,0,1,0,2036647.57,149.2
10/09/2026 22:27:31,192.168.1.29,192.168.1.15,47667,8443,6,3023454,8,11,8320,640673,0,0,0,1,0,214652.84,6.28
10/09/2026 22:27:31,192.168.1.23,52.84.17.100,16167,53,6,355978,19,3,1311,1251,1,0,0,0,0,7197.07,61.8
10/09/2026 22:27:31,198.41.0.4,192.168.1.22,48560,8443,6,2081476,6,9,5118,345555,1,0,0,1,0,168473.24,7.21
10/09/2026 22:27:31,8.8.4.4,192.168.1.27,21336,8080,6,4145339,4,13,3608,603993,0,0,1,0,0,146574.5,4.1
10/09/2026 22:27:31,192.168.1.22,192.168.1.24,0,0,1,3856067,15,12,930,588,0,0,0,0,0,393.67,7.0
10/09/2026 22:27:31,192.168.1.4,192.168.1.27,47393,443,17,1153221,9,4,2925,127808,0,0,0,0,0,113363.35,11.27
10/09/2026 22:27:31,192.168.1.22,192.168.1.14,16718,465,6,3859786,18,5,24768,1320,1,0,0,0,0,6758.92,5.96
10/09/2026 22:27:31,192.168.1.27,192.168.1.4,58287,36541,6,4686273,3,9,852,5841,1,0,0,0,0,1428.21,2.56
10/09/2026 22:27:31,192.168.1.17,192.168.1.19,58737,8080,6,1167492,18,8,14994,469112,0,0,0,1,1,414654.66,22.27
10/09/2026 22:27:31,8.8.8.8,192.168.1.7,4006,443,6,1077754,10,1,12440,23416,1,0,0,1,0,33269.19,10.21
10/09/2026 22:27:31,192.168.1.18,192.168.1.27,47280,21447,17,1374115,5,8,3235,5016,0,0,0,0,0,6004.59,9.46
10/09/2026 22:27:31,8.8.4.4,13.32.99.1,25493,995,17,3655628,8,12,5848,5904,0,0,0,0,0,3214.77,5.47
10/09/2026 22:27:31,52.84.17.100,13.32.99.1,9858,53,6,573403,4,7,124,3304,0,0,0,1,0,5978.34,19.18
10/09/2026 22:27:31,192.168.1.5,192.168.1.10,38890,8443,6,1325543,14,13,7868,787657,1,0,0,1,0,600150.28,20.37
10/09/2026 22:27:31,192.168.1.23,192.168.1.14,4252,52764,17,1404206,6,3,1536,2133,0,0,0,0,0,2612.86,6.41
10/09/2026 22:27:31,142.250.80.46,104.244.42.65,62169,53,6,3946525,2,8,84,2848,0,0,0,1,0,742.93,2.53
10/09/2026 22:27:31,8.8.8.8,151.101.1.140,48354,8080,17,134917,3,6,2289,111978,0,0,0,0,0,846942.94,66.71
10/09/2026 22:27:31,192.168.1.8,8.8.4.4,23138,443,6,2515456,13,7,3562,338198,0,0,0,1,0,135864.03,7.95
10/09/2026 22:27:31,192.168.1.17,192.168.1.5,11645,443,6,4308721,4,10,2860,226180,1,0,0,0,0,53157.31,3.25
10/09/2026 22:27:31,192.168.1.24,192.168.1.22,29425,22,6,4850265,11,15,7161,8505,1,0,0,0,0,3229.93,5.36
10/09/2026 22:27:31,192.168.1.5,8.8.4.4,22872,80,6,1840795,6,6,1872,244848,0,1,0,1,0,134029.05,6.52
10/09/2026 22:27:31,192.168.1.24,142.250.80.46,8623,80,6,3547454,10,7,9270,28371,0,0,0,1,1,10610.71,4.79
10/09/2026 22:27:31,192.168.1.2,192.168.1.4,30321,80,6,89595,15,15,22155,538500,0,0,0,1,0,6257659.47,334.84
10/09/2026 22:27:31,192.168.1.13,192.168.1.1,39076,53,6,2916366,10,9,550,3186,0,0,0,1,0,1281.05,6.51
10/09/2026 22:27:31,198.41.0.4,8.8.8.8,57308,110,6,488845,11,10,9966,6960,1,0,0,1,0,34624.47,42.96
10/09/2026 22:27:31,192.168.1.7,192.168.1.14,53105,80,17,3416054,3,11,666,198583,0,0,0,0,0,58327.24,4.1
10/09/2026 22:27:31,192.168.1.16,192.168.1.20,5727,8080,6,1945537,20,5,22540,159335,1,0,0,0,0,93483.19,12.85
10/09/2026 22:27:31,198.41.0.4,192.168.1.17,59748,80,6,1132887,20,3,22780,142164,0,0,0,1,0,145596.16,20.3
10/09/2026 22:27:31,192.168.1.11,192.168.1.5,0,0,1,4528941,14,9,714,306,0,0,0,0,0,225.22,5.08
10/09/2026 22:27:31,192.168.1.13,8.8.8.8,63321,22,6,2737462,11,4,7128,5344,0,0,0,1,0,4556.04,5.48
10/09/2026 22:27:31,192.168.1.13,172.217.14.238,54278,80,6,436589,15,2,6855,126532,1,0,0,0,0,305520.75,38.94
10/09/2026 22:27:31,8.8.4.4,192.168.1.25,63528,80,6,2347201,7,2,2786,119756,1,0,0,0,0,52207.71,3.83
10/09/2026 22:27:31,192.168.1.9,192.168.1.22,51005,22,6,759165,9,2,9009,542,1,0,0,0,0,12580.93,14.49
10/09/2026 22:27:31,192.168.1.2,192.168.1.21,62118,8443,6,2905771,14,3,4088,190695,0,0,0,1,1,67033.16,5.85
10/09/2026 22:27:31,192.168.1.2,192.168.1.26,63058,8443,6,2541163,17,0,13600,0,1,0,0,1,0,5351.88,6.69
10/09/2026 22:27:31,192.168.1.14,192.168.1.3,0,0,1,3438829,2,0,98,0,0,0,0,0,0,28.5,0.58
10/09/2026 22:27:31,192.168.1.6,192.168.1.17,61481,443,17,2737775,15,13,15285,430599,0,0,0,0,0,162863.64,10.23
10/09/2026 22:27:31,192.168.1.4,1.1.1.1,38828,8443,17,3193122,18,5,4878,173730,0,0,0,0,0,55935.23,7.2
10/09/2026 22:27:31,192.168.1.7,192.168.1.20,57178,8443,6,3754801,3,11,2931,569162,0,0,0,1,0,152363.07,3.73
10/09/2026 22:27:31,8.8.4.4,151.101.1.140,13181,587,17,2326868,9,5,5787,2260,0,0,0,0,0,3458.3,6.02
10/09/2026 22:27:31,192.168.1.11,142.250.80.46,54645,8080,6,3507252,14,4,18438,114840,0,1,0,1,0,38000.69,5.13
10/09/2026 22:27:31,192.168.1.24,151.101.1.140,0,0,1,876031,15,7,435,294,0,0,0,0,0,832.16,25.11
10/09/2026 22:27:31,192.168.1.27,104.244.42.65,31899,443,6,1246757,3,14,2526,83636,0,0,0,1,0,69108.9,13.64
10/09/2026 22:27:31,192.168.1.15,192.168.1.21,36654,8080,6,2504268,15,4,7230,56808,0,0,1,0,0,25571.54,7.59
10/09/2026 22:27:31,192.168.1.10,192.168.1.22,33175,22,6,2629753,10,2,8800,1080,1,0,0,0,0,3757.01,4.56
10/09/2026 22:27:31,192.168.1.1,1.1.1.1,63277,587,17,2212264,9,15,3681,12570,0,0,0,0,0,7345.87,10.85
10/09/2026 22:27:31,192.168.1.17,8.8.8.8,23516,80,6,554991,2,0,1606,0,0,0,0,1,1,2893.74,3.6
10/09/2026 22:27:31,192.168.1.3,13.32.99.1,2808,32267,6,3535254,6,14,6198,18354,0,1,0,1,0,6944.9,5.66
10/09/2026 22:27:31,151.101.1.140,192.168.1.25,35236,10607,6,1220740,2,2,472,266,0,0,0,1,1,604.55,3.28
10/09/2026 22:27:31,192.168.1.18,192.168.1.13,7342,21,17,3537583,15,8,19845,10168,0,0,0,0,0,8484.04,6.5
10/09/2026 22:27:31,192.168.1.8,192.168.1.22,27291,22,6,4831018,8,11,7440,7073,1,0,0,1,0,3004.13,3.93
10/09/2026 22:27:31,192.168.1.2,13.32.99.1,41451,8080,6,2707945,14,14,8694,542570,0,0,0,1,1,203572.82,10.34
10/09/2026 22:27:31,192.168.1.10,192.168.1.19,62300,21,6,727124,13,3,14729,375,0,0,0,1,1,20772.25,22.0
10/09/2026 22:27:31,192.168.1.28,192.168.1.14,41599,8080,17,4000178,6,7,4230,99652,0,0,0,0,0,25969.34,3.25
10/09/2026 22:27:31,192.168.1.18,192.168.1.22,39758,5319,6,226912,17,7,24650,10010,1,0,0,0,0,152746.44,105.77
10/09/2026 22:27:31,192.168.1.15,52.84.17.100,1120,993,6,583632,6,12,7554,14808,0,0,0,1,0,38315.24,30.84
10/09/2026 22:27:31,192.168.1.29,192.168.1.1,5414,80,6,1382414,1,9,1492,423513,0,0,1,0,0,307436.85,7.23
10/09/2026 22:27:31,192.168.1.10,151.101.1.140,50690,8443,6,3041275,1,9,424,30816,1,0,0,1,0,10272.01,3.29
10/09/2026 22:27:31,192.168.1.4,192.168.1.10,65128,8080,6,2146643,4,7,1796,303625,0,0,0,1,0,142278.43,5.12
10/09/2026 22:27:31,192.168.1.13,192.168.1.19,64172,8080,6,4135875,1,6,1210,122106,1,0,0,0,0,29816.18,1.69
10/09/2026 22:27:31,192.168.1.5,192.168.1.17,3489,8080,17,4308459,2,4,962,147912,0,0,0,0,0,34553.89,1.39
10/09/2026 22:27:31,13.32.99.1,192.168.1.10,51819,443,6,3498107,15,8,8265,200992,1,0,0,0,0,59820.07,6.57
10/09/2026 22:27:31,192.168.1.9,192.168.1.5,10264,53,6,4381858,3,5,129,1985,1,0,0,0,0,482.44,1.83
10/09/2026 22:27:31,192.168.1.3,192.168.1.25,7123,20,17,1782487,11,1,8063,814,0,0,0,0,0,4980.12,6.73
10/09/2026 22:27:31,192.168.1.17,151.101.1.140,24584,53,17,2308550,20,13,740,3016,0,0,0,0,0,1627.0,14.29
10/09/2026 22:27:31,192.168.1.20,192.168.1.12,39809,28084,17,1358299,2,1,716,960,0,0,0,0,0,1233.9,2.21
10/09/2026 22:27:31,104.244.42.65,192.168.1.3,20757,22496,6,4330292,7,14,6370,13958,0,0,0,1,0,4694.37,4.85
10/09/2026 22:27:31,192.168.1.17,192.168.1.14,1805,55939,6,2980547,14,5,2184,7330,0,0,0,1,1,3192.03,6.37
10/09/2026 22:27:31,192.168.1.12,192.168.1.14,20133,443,6,4649801,6,14,7638,599102,0,0,0,1,0,130487.3,4.3
10/09/2026 22:27:31,192.168.1.17,192.168.1.12,28914,80,6,2147736,17,6,22508,23082,0,0,0,1,1,21227.0,10.71
10/09/2026 22:27:31,192.168.1.28,192.168.1.25,47400,993,6,1115681,1,6,725,3378,1,0,0,0,0,3677.57,6.27
10/09/2026 22:27:31,192.168.1.9,192.168.1.21,60000,53,17,2906523,13,13,494,3289,0,0,0,0,0,1301.56,8.95
10/09/2026 22:27:31,198.41.0.4,1.1.1.1,55827,8443,17,2104250,12,13,10608,760292,0,0,0,0,0,366353.81,11.88
10/09/2026 22:27:31,192.168.1.27,192.168.1.6,40878,22,6,2042954,11,2,4873,1060,1,0,0,0,0,2904.13,6.36
10/09/2026 22:27:31,192.168.1.19,192.168.1.4,3130,53,6,2985122,7,4,287,1892,0,0,1,0,0,729.95,3.68
10/09/2026 22:27:31,142.250.80.46,192.168.1.3,2133,53,6,1912004,2,9,126,810,0,1,0,1,0,489.54,5.75
10/09/2026 22:27:31,8.8.4.4,192.168.1.11,52723,443,6,1609908,19,6,6213,198444,0,0,0,1,1,127123.41,15.53
10/09/2026 22:27:31,151.101.1.140,13.32.99.1,42984,22,6,4176973,11,8,6919,6328,1,0,0,0,0,3171.44,4.55
10/09/2026 22:27:31,192.168.1.20,192.168.1.27,47647,22,6,2019480,17,5,20043,2390,1,0,0,0,0,11108.31,10.89
10/09/2026 22:27:31,192.168.1.10,192.168.1.6,21333,41001,6,2443625,11,9,8866,12510,1,0,0,0,0,8747.66,8.18
10/09/2026 22:27:31,192.168.1.26,192.168.1.13,42523,993,6,3871004,18,1,1674,995,0,0,0,1,1,689.49,4.91
10/09/2026 22:27:31,192.168.1.20,13.32.99.1,5163,8080,6,143245,9,1,10998,58840,0,1,0,1,0,487542.32,69.81
10/09/2026 22:27:31,8.8.4.4,192.168.1.20,8704,8080,6,147137,13,4,3666,111328,0,1,0,1,0,781543.73,115.54
10/09/2026 22:27:31,192.168.1.29,142.250.80.46,26123,53,17,3346909,3,4,132,1712,0,0,0,0,0,550.96,2.09
10/09/2026 22:27:31,192.168.1.3,192.168.1.4,46529,53,6,4267386,19,2,817,394,0,1,0,1,0,283.78,4.92
10/09/2026 22:27:31,192.168.1.2,192.168.1.29,42655,8443,6,1677627,8,8,5640,21328,0,0,1,0,0,16075.09,9.54
10/09/2026 22:27:31,192.168.1.7,192.168.1.18,54257,443,6,4340912,11,15,12298,781365,0,0,0,1,1,182833.24,5.99
10/09/2026 22:27:31,192.168.1.20,192.168.1.14,11156,443,6,1509727,11,7,7205,334502,0,1,0,1,0,226336.95,11.92
10/09/2026 22:27:31,151.101.1.140,192.168.1.18,33613,45811,6,3640337,18,3,5688,4410,0,1,0,1,0,2773.92,5.77
10/09/2026 22:27:31,192.168.1.12,1.1.1.1,23595,8443,6,2460509,17,5,5695,254285,1,0,0,0,0,105661.06,8.94
10/09/2026 22:27:31,192.168.1.21,192.168.1.6,10836,995,6,1606129,13,14,17004,6622,0,0,0,1,0,14709.9,16.81
10/09/2026 22:27:31,192.168.1.11,192.168.1.13,64054,53,6,4220070,20,0,1340,0,0,0,0,1,0,317.53,4.74
10/09/2026 22:27:31,142.250.80.46,192.168.1.18,14613,22,6,3683968,2,6,990,3582,1,0,0,0,0,1241.05,2.17
